D2Angola (Republic of)                                            
D3Angola (Republic of)                                            
D4Cabo Verde (Republic of)                                        
D5Liberia (Republic of)                                           
D6Comoros (Union of the)                                          
D7Korea (Republic of)                                             
D8Korea (Republic of)                                             
D9Korea (Republic of)                                             
DAGermany (Federal Republic of)                                   
DBGermany (Federal Republic of)                                   
DCGermany (Federal Republic of)                                   
DDGermany (Federal Republic of)                                   
DEGermany (Federal Republic of)                                   
DFGermany (Federal Republic of)                                   
DGGermany (Federal Republic of)                                   
DHGermany (Federal Republic of)                                   
DIGermany (Federal Republic of)                                   
DJGermany (Federal Republic of)                                   
DKGermany (Federal Republic of)                                   
DLGermany (Federal Republic of)                                   
DMGermany (Federal Republic of)                                   
DNGermany (Federal Republic of)                                   
DOGermany (Federal Republic of)                                   
DPGermany (Federal Republic of)                                   
DQGermany (Federal Republic of)                                   
DRGermany (Federal Republic of)                                   
DSKorea (Republic of)                                             
DTKorea (Republic of)                                             
DUPhilippines (Republic of the)                                   
DVPhilippines (Republic of the)                                   
DWPhilippines (Republic of the)                                   
DXPhilippines (Republic of the)                                   
DYPhilippines (Republic of the)                                   
DZPhilippines (Republic of the)                                   
