GAUnited Kingdom of Great Britain and Northern Ireland            
GBUnited Kingdom of Great Britain and Northern Ireland            
GCUnited Kingdom of Great Britain and Northern Ireland            
GDUnited Kingdom of Great Britain and Northern Ireland            
GEUnited Kingdom of Great Britain and Northern Ireland            
GFUnited Kingdom of Great Britain and Northern Ireland            
GGUnited Kingdom of Great Britain and Northern Ireland            
GHUnited Kingdom of Great Britain and Northern Ireland            
GIUnited Kingdom of Great Britain and Northern Ireland            
GJUnited Kingdom of Great Britain and Northern Ireland            
GKUnited Kingdom of Great Britain and Northern Ireland            
GLUnited Kingdom of Great Britain and Northern Ireland            
GMUnited Kingdom of Great Britain and Northern Ireland            
GNUnited Kingdom of Great Britain and Northern Ireland            
GOUnited Kingdom of Great Britain and Northern Ireland            
GPUnited Kingdom of Great Britain and Northern Ireland            
GQUnited Kingdom of Great Britain and Northern Ireland            
GRUnited Kingdom of Great Britain and Northern Ireland            
GSUnited Kingdom of Great Britain and Northern Ireland            
GTUnited Kingdom of Great Britain and Northern Ireland            
GUUnited Kingdom of Great Britain and Northern Ireland            
GVUnited Kingdom of Great Britain and Northern Ireland            
GWUnited Kingdom of Great Britain and Northern Ireland            
GXUnited Kingdom of Great Britain and Northern Ireland            
GYUnited Kingdom of Great Britain and Northern Ireland            
GZUnited Kingdom of Great Britain and Northern Ireland            
