P2Papua New Guinea                                                
P3Cyprus (Republic of)                                            
P4Netherlands (Kingdom of the) - Aruba                            
P5Democratic People's Republic of Korea                           
P6Democratic People's Republic of Korea                           
P7Democratic People's Republic of Korea                           
P8Democratic People's Republic of Korea                           
P9Democratic People's Republic of Korea                           
PANetherlands (Kingdom of the)                                    
PBNetherlands (Kingdom of the)                                    
PCNetherlands (Kingdom of the)                                    
PDNetherlands (Kingdom of the)                                    
PENetherlands (Kingdom of the)                                    
PFNetherlands (Kingdom of the)                                    
PGNetherlands (Kingdom of the)                                    
PHNetherlands (Kingdom of the)                                    
PINetherlands (Kingdom of the)                                    
PJNetherlands (Kingdom of the) - Bonaire, Sint Eustatius and Saba 
PJNetherlands (Kingdom of the) - Curaçao                          
PJNetherlands (Kingdom of the) - Sint Maarten (Dutch part)        
PKIndonesia (Republic of)                                         
PLIndonesia (Republic of)                                         
PMIndonesia (Republic of)                                         
PNIndonesia (Republic of)                                         
POIndonesia (Republic of)                                         
PPBrazil (Federative Republic of)                                 
PQBrazil (Federative Republic of)                                 
PRBrazil (Federative Republic of)                                 
PSBrazil (Federative Republic of)                                 
PTBrazil (Federative Republic of)                                 
PUBrazil (Federative Republic of)                                 
PVBrazil (Federative Republic of)                                 
PWBrazil (Federative Republic of)                                 
PXBrazil (Federative Republic of)                                 
PYBrazil (Federative Republic of)                                 
PZSuriname (Republic of)                                          
